file	line	curie	claimed_label	ontology_label	verdict	similarity	row
research/traits/ecology/animal_pathogen-deep-research-falcon.md	230	GO:0044406	adhesion to host	adhesion of symbiont to host	OK_LABEL	1.00	| adhesion to host | **GO:0044406** | Initial attachment/colonization process; confirm current GO label before import. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	231	GO:0042710	biofilm formation	biofilm formation	OK_LABEL	1.00	| biofilm formation | **GO:0042710** | Persistence on host or abiotic surfaces. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	232	GO:0009372	quorum sensing	quorum sensing	OK_LABEL	1.00	| quorum sensing | **GO:0009372** | Density-dependent regulation of collective behavior. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	233	GO:0009405	pathogenesis	obsolete pathogenesis	OBSOLETE	1.00	| pathogenesis | **GO:0009405** | Broad process node; avoid circular use as the sole parent of the target trait. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	253	CHEBI:18248	iron atom / fe	iron atom	OK_LABEL	1.00	| iron atom / Fe | **CHEBI:18248** | Prefer oxidation-state-specific terms where the reaction requires them. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	254	CHEBI:29033	iron(2+)	iron(2+)	OK_LABEL	1.00	| iron(2+) | **CHEBI:29033** | Ferrous iron. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	255	CHEBI:29034	iron(3+)	iron(3+)	OK_LABEL	1.00	| iron(3+) | **CHEBI:29034** | Ferric iron bound by many siderophores. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	256	CHEBI:30413	heme	heme	OK_LABEL	1.00	| heme | **CHEBI:30413** | Verify whether heme b or a more specific form is required. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	257	CHEBI:16199	urea	urea	OK_LABEL	1.00	| urea | **CHEBI:16199** | Substrate for urease. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	258	CHEBI:16134	ammonia	ammonia	OK_LABEL	1.00	| ammonia | **CHEBI:16134** | Product contributing to alkaline urine and tissue toxicity. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	259	CHEBI:49786	nickel(2+)	nickel(2+)	OK_LABEL	1.00	| nickel(2+) | **CHEBI:49786** | Required for urease maturation; verify before import. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	260	CHEBI:17012	n-acetylneuraminic acid	N-acetylneuraminic acid	OK_LABEL	1.00	| N-acetylneuraminic acid | **CHEBI:17012** | Neu5Ac; typhoid-toxin receptor glycan determinant. |
research/traits/ecology/animal_pathogen-deep-research-falcon.md	261	CHEBI:16356	cyclic gmp	3',5'-cyclic GMP	OK_LABEL	1.00	| cyclic GMP | **CHEBI:16356** | Enterotoxin-triggered host second messenger; verify current CHEBI record. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	193	GO:0042710	biofilm formation	biofilm formation	OK_LABEL	1.00	| biofilm formation | `traitmech:000053`; `GO:0042710` | Target trait; GO cross-reference is useful but does not replace METPO identity. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	200	GO:0071973	flagellar motility	bacterial-type flagellum-dependent cell motility	DRIFT	0.67	| flagellar motility | `GO:0071973` | Use only where the experiment specifically concerns flagellum-dependent motility. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	207	CHEBI:49537	cyclic di-gmp	c-di-GMP	OK_LABEL	1.00	| cyclic di-GMP | `CHEBI:49537` | Intracellular second messenger controlling motile–sessile transitions. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	208	CHEBI:15996	gtp	GTP	OK_LABEL	1.00	| GTP | `CHEBI:15996` | Diguanylate-cyclase substrate. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	209	CHEBI:16480	nitric oxide	nitric oxide	OK_LABEL	1.00	| nitric oxide | `CHEBI:16480` | Dispersal cue in specific systems. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	210	CHEBI:15379	dioxygen	dioxygen	OK_LABEL	1.00	| dioxygen | `CHEBI:15379` | Environmental electron acceptor; gradients shape pellicles and biofilm physiology. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	214	CHEBI:58187	alginate	alginate	OK_LABEL	1.00	| alginate | `CHEBI:58187` | Mucoid matrix polysaccharide; importance is strain/context dependent. |
research/traits/ecology/biofilm_formation-deep-research-falcon.md	216	CHEBI:62202	pyocyanin	glucosyl-heptosyl-(phosphoheptosyl)2-(KDO)2-lipid A	DRIFT	0.20	| pyocyanin | `CHEBI:62202` | Phenazine electron shuttle retained by eDNA. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	210	GO:0005623	host cell	obsolete cell	OBSOLETE	1.00	| host cell | `GO:0005623` | General intracellular context. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	211	GO:0005737	cytoplasm	cytoplasm	OK_LABEL	1.00	| cytoplasm | `GO:0005737` | Appropriate for cytoplasmic bacteriocytes such as cockroach–*Blattabacterium*. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	212	GO:0016020	membrane	membrane	OK_LABEL	1.00	| membrane | `GO:0016020` | Generic only; prefer “symbiosome membrane” label where the specialized structure is intended. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	217	GO:0042129	root nodule	regulation of T cell proliferation	DRIFT	0.20	| root nodule | `GO:0042129` | Verify local ontology treatment before use. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	218	GO:0005622	intracellular anatomical structure	intracellular anatomical structure	OK_LABEL	1.00	| intracellular anatomical structure | `GO:0005622` | Broad fallback; less informative than bacteriocyte/symbiosome. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	224	GO:0009399	nitrogen fixation	nitrogen fixation	OK_LABEL	1.00	| nitrogen fixation | `GO:0009399` | Bacteroid conversion of N₂ to ammonia. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	225	GO:0055085	transmembrane transport	transmembrane transport	OK_LABEL	1.00	| transmembrane transport | `GO:0055085` | Nutrient movement across host or symbiosome membranes. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	226	GO:0008652	amino-acid biosynthetic process	amino acid biosynthetic process	DRIFT	1.00	| amino-acid biosynthetic process | `GO:0008652` | Symbiont provisioning and metabolic complementation. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	227	GO:0009110	vitamin biosynthetic process	vitamin biosynthetic process	OK_LABEL	1.00	| vitamin biosynthetic process | `GO:0009110` | Retained host-beneficial function in reduced genomes. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	228	GO:0006281	dna repair	DNA repair	OK_LABEL	1.00	| DNA repair | `GO:0006281` | Frequently lost or partitioned between co-symbionts. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	229	GO:0006298	mismatch repair	mismatch repair	OK_LABEL	1.00	| mismatch repair | `GO:0006298` | Buchnera–Serratia complementation. |
research/traits/ecology/endosymbiosis-deep-research-falcon.md	230	GO:0006914	autophagy	autophagy	OK_LABEL	1.00	| autophagy | `GO:0006914` | Host-mediated bacteriocyte/endosymbiont recycling. |
