record_path	record_id	record_label	record_definition	trait_category	term_kind	candidate_curie	candidate_label	candidate_definition	ontology	match_basis	matched_text	candidate_exact_synonyms	candidate_count_for_label	already_grounded	review_status	review_rationale
data/traits/metabolism/metabolism.yaml	METPO:1000060	metabolism	A biological process that maintains life in an organism.	METABOLISM	CLASS	GO:0008152	metabolic process	A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation.	GO	EXACT_SYNONYM	metabolism	metabolism	1	yes	APPROVED	Definitions agree on organismal biochemical metabolism; the TraitRecord label is a declared GO exact synonym.
data/traits/upper/quality.yaml	METPO:1000188	quality	A characteristic of an entity that depends on the entity's existence, size, color, and physiological traits.	UPPER	CLASS	PATO:0000001	quality	A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities	PATO	CANONICAL_LABEL	quality		1	yes	APPROVED	Both terms denote a specifically dependent quality inhering in a bearer.
data/traits/upper/chemical_entity.yaml	METPO:1000526	chemical entity	A material entity that is a physical entity of interest in chemistry, including molecular entities, parts thereof, and chemical substances. Used as the range class for the majority of METPO chemical-use OBJECT_PROPERTYs (uses_as_carbon_source, uses_as_electron_donor, ferments, oxidizes, etc.) so that organism-to-chemical assertions resolve to a curated chemical class.	UPPER	CLASS	CHEBI:24431	chemical entity	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	CHEBI	CANONICAL_LABEL	chemical entity		1	yes	APPROVED	Existing xref; both terms denote the upper class of entities of chemical interest.
data/traits/environment/aerobic.yaml	METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	ENVIRONMENT	CLASS	PATO:0001455	aerobic	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	PATO	CANONICAL_LABEL	aerobic		1	yes	APPROVED	Both denote oxygen-dependent growth/aerobic quality.
data/traits/environment/anaerobic.yaml	METPO:1000603	anaerobic	An oxygen preference in which growth occurs in the absence of molecular oxygen (O₂).	ENVIRONMENT	CLASS	PATO:0001456	anaerobic	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	PATO	CANONICAL_LABEL	anaerobic		1	yes	APPROVED	Both denote oxygen-independent growth/anaerobic quality.
data/traits/upper/biological_process.yaml	METPO:1000630	biological process	A execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	UPPER	CLASS	GO:0008150	biological_process	A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	GO	EXACT_SYNONYM	biological process	biological process | physiological process	1	yes	APPROVED	Existing xref; the TraitRecord label is a declared GO exact synonym and the definitions agree on biological process.
data/traits/morphology/ring_shaped.yaml	METPO:1000680	ring shaped	A cell shape in which an organism forms circular or toroidal structures.	MORPHOLOGY	CLASS	PATO:0002539	ring shaped	A shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space).	PATO	CANONICAL_LABEL	ring shaped	annular | ring-shaped	1	yes	APPROVED	Both definitions denote a circular or toroidal ring shape.
data/traits/morphology/star_shaped.yaml	METPO:1000685	star shaped	A cell shape in which an organism has multiple radiating projections from a central body.	MORPHOLOGY	CLASS	PATO:0002065	star shaped	A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	PATO	CANONICAL_LABEL	star shaped	stellate	1	yes	APPROVED	Both definitions denote radiating projections from a common center.
data/traits/metabolism/aerobic_respiration.yaml	METPO:1000801	Aerobic respiration	A respiration in which molecular oxygen serves as the terminal electron acceptor in the electron transport chain, generating ATP through oxidative phosphorylation with water as the final product.	METABOLISM	CLASS	GO:0009060	aerobic respiration	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	GO	CANONICAL_LABEL	aerobic respiration		1	yes	APPROVED	Both define respiration using oxygen as terminal electron acceptor.
data/traits/metabolism/anaerobic_respiration.yaml	METPO:1000802	Anaerobic respiration	A respiration in which an organism uses electron acceptors other than oxygen for energy production.	METABOLISM	CLASS	GO:0009061	anaerobic respiration	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.	GO	CANONICAL_LABEL	anaerobic respiration		1	yes	APPROVED	Both define respiration using a terminal electron acceptor other than oxygen.
